id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
238190,Contemporary Penthouse with Two Beds and City View,285168,Bill,,Russian Hill,37.8031,-122.41449,Private room,205,2,230,2021-04-02,3.17,4,59
238204,Spacious SF Getaway Near The Ocean,1248132,"Jennifer, Maria , Andrew",,Parkside,37.74228,-122.50415,Entire home/apt,144,2,230,2021-07-05,2.15,1,325
241235,Dorm Bed In Friendly Hostel Community #4,329072,James & Friends,,Financial District,37.7937,-122.40417,Shared room,45,1,329,2021-06-08,2.78,14,87
251792,3 BR Family-Friendly Private Home with Hottub,1320750,Nilesh,,Outer Sunset,37.75474,-122.48924,Entire home/apt,422,2,7,2021-08-01,0.06,1,35
256176,Private entrance bd/bath by GG Park,976125,Eva,,Inner Richmond,37.77713,-122.456,Private room,80,2,364,2021-07-23,4.25,1,309
258786,Room with Bay Views,698337,Emily,,Bernal Heights,37.74344,-122.4066,Private room,68,30,16,2019-02-25,0.15,2,0
259621,Dorm Bed In Friendly Hostel Community #6,329072,James & Friends,,Financial District,37.7937,-122.40417,Shared room,45,1,255,2021-07-13,3.07,14,77
259622,Dorm Bed In Friendly Hostel Community #5,329072,James & Friends,,Financial District,37.7937,-122.40417,Shared room,45,1,221,2019-12-27,2.59,14,85
269463,Elegant Victorian Flat in Haight,1244308,Lawrence,,Haight Ashbury,37.76761,-122.45139,Entire home/apt,250,2,152,2021-07-18,3.20,1,5
271602,Luxury Condo Downtown/ SoMa,1421296,Richard,,South of Market,37.77907,-122.40503,Entire home/apt,81,30,109,2021-08-01,0.94,1,222
271647,"Private Room w/ 2 Queen Beds, Steps to Ocean Beach",1421509,Matthew,,Outer Sunset,37.75334,-122.50794,Private room,60,30,135,2021-02-14,1.77,2,0
273530,"Sunny Potrero Townhouse ""Nest""",99128,Cathryn,,Potrero Hill,37.75533,-122.39927,Entire home/apt,369,4,34,2021-05-18,0.54,2,0
274334,Newly remodeled clean/private bath,1434669,Ashli,,Outer Sunset,37.7517,-122.5051,Private room,85,3,92,2021-05-23,1.23,1,68
279184,"Sunny 3 BR home in the Mission, great location",1456262,Justin,,Mission,37.75059,-122.41415,Entire home/apt,475,5,13,2019-07-03,0.15,2,0
280549,Bungalow Rooms with Great Views,1454829,Luise,,West of Twin Peaks,37.73948,-122.44947,Private room,250,1,35,2018-07-09,0.36,1,276
284117,"Cozy, Charming Cottage nestled in a Quiet Garden",1479905,Samantha,,Glen Park,37.74102,-122.42815,Entire home/apt,71,30,212,2021-06-01,2.23,2,82
285499,Castro States Street View Penthouse,1479964,James,,Castro/Upper Market,37.76349,-122.4397,Entire home/apt,199,30,4,2020-08-22,0.05,17,276
288213,Stylish Potrero Garden Flat for Two,1498483,Jared & Katherine,,Potrero Hill,37.75924,-122.38948,Entire home/apt,196,2,212,2021-08-02,3.09,1,284
292723,Mission Outr PvtBDRmD3 + MiniFridge,305973,Maria,,Excelsior,37.73072,-122.42436,Private room,33,30,18,2017-08-05,0.16,12,307
295240,Garden Apartment Oasis with Lush Greenery and a Hot Tub,1525192,Kristoffer,,Castro/Upper Market,37.76066,-122.44102,Entire home/apt,299,2,208,2021-07-27,2.84,1,283
295565,SF BedRM 4,305973,Maria,,Excelsior,37.73072,-122.42436,Private room,32,30,9,2019-07-31,0.08,12,334
307837,"Lovely, garden studio apartment",1583952,Ellen,,Noe Valley,37.75314,-122.43724,Entire home/apt,169,7,66,2021-01-27,1.08,1,208
308885,North Beach Best Location and View,1588855,Arbe,,Financial District,37.79739,-122.4052,Entire home/apt,90,30,111,2020-03-31,1.10,2,336
314248,Pacific Heights 3 bedroom home,1614566,Sarah,,Pacific Heights,37.78946,-122.43538,Entire home/apt,325,30,47,2021-07-11,1.26,1,260
314368,2BR North Beach - Perfect for Business or Leisure,1229762,Jason,,North Beach,37.80333,-122.40962,Entire home/apt,585,1,56,2021-08-02,1.50,1,158
317121,Small but practical studio in SF,374909,Eric,,Haight Ashbury,37.76547,-122.44616,Entire home/apt,67,30,27,2019-03-03,0.24,14,276
326650,Lovely beautiful Apt Pac Fillmore,1670339,Je,,Western Addition,37.78457,-122.43177,Entire home/apt,199,30,32,2015-08-07,0.29,2,365
329020,"The Clock Tower, circa 1907.",326840,Jorge,,South of Market,37.78377,-122.39275,Entire home/apt,250,30,6,2016-09-30,0.05,1,0
330535,Victorian Flat amongst the Trees.,625762,Ryan And Lindsea,,Haight Ashbury,37.76699,-122.44643,Entire home/apt,150,30,114,2021-05-29,1.44,3,282
338849,Best area Bright LARGE Beautiful,1670339,Je,,Western Addition,37.78599,-122.43232,Private room,59,30,3,2014-10-16,0.03,2,337
342420,Large Victorian House in Castro,1737796,Elizabeth,,Castro/Upper Market,37.76235,-122.42969,Entire home/apt,662,4,19,2019-07-26,0.26,1,0
344621,Charming Bungalow on the Sunnyside,305675,Patricia,,Outer Mission,37.72883,-122.44775,Private room,75,1,48,2021-08-01,1.94,1,338
350479,"Sunny, garden view bedroom",1776403,Ken,,Mission,37.75783,-122.41063,Private room,51,7,44,2021-07-03,0.82,5,292
351978,Mission Outr BedRmD1 w/ Patio+Fridge+Microwave,305973,Maria,,Excelsior,37.73072,-122.42436,Private room,35,30,28,2021-05-27,0.26,12,347
353292,"Mid-Century Modern Flat, Central Locale",1789683,Tim,,Western Addition,37.77201,-122.4297,Private room,90,30,23,2020-02-16,1.04,1,64
371595,"Private Garden Room- Near UCSF, Sutter Heath & DT",165574,Jonathan,,Presidio Heights,37.78146,-122.45619,Entire home/apt,62,30,244,2020-09-07,2.18,2,122
379255,Beautiful 4-bdrm in San Francisco,1904628,Clare,,Haight Ashbury,37.7661,-122.4449,Entire home/apt,849,6,15,2020-01-17,0.14,1,0
379349,Best location in San Francisco,1901233,Miriam,,Haight Ashbury,37.76646,-122.44425,Entire home/apt,131,3,323,2021-07-16,3.61,1,304
394575,Grand and Cozy 1920's SF Studio,1190192,Mike & Nic,,Bernal Heights,37.74131,-122.41179,Entire home/apt,149,6,438,2021-07-25,4.35,1,309
400433,"Stylish Mission Condo, steps to Dolores Park",1583699,Tracy,,Mission,37.76015,-122.42098,Entire home/apt,355,3,37,2021-05-29,0.37,1,35
